inn,company_name,phone,email,short,reputation,successful_tenders,unsuccessful_tenders
9715236674,"ООО ""ТЕРМОЭЛЕКТРИКА""",8 (495) 231-92-99,info@thermoelectrika.com,Газоаналитическая система определения перегрева,0,0,0
7735588840,"ООО ""Алитикс""",8 (499) 215-95-26,info.466@alytics-team.ru,Платформа сквозной аналитики и автоматизации контекстной рекламы,0,0,0
7203471801,"ООО ""Мэлтор""",8 (800) 250-09-43,support@meltor.ru,Онлайн-платформа для автоматизации участия в государственных и коммерческих закупках,0,0,0
7719538143,"ООО ""Контакт""",8 (800) 707-75-58,info@buffersystem.ru,Химические составы для очистки и защиты поверхностей,0,0,0
6163216409,ООО «Легиум»,8 (499) 213-09-10,ivan@legium.io,Сервис электронного подписания документов,0,0,0
773573673157,ИП Мытарев Евгений Юрьевич,8 (903) 779-23-95,info@botman.one,Визуальный конструктор приложений без программирования,0,0,0
7327043936,"ООО ""Проф-Ит Групп""",8 (495) 228-30-31,info@prof-itgroup.ru,Система очистки воздуха,0,0,0
5408016091,"ООО ""Бинман""",8 (800) 222-59-03,support@binman.ru,Онлайн-сервис слежения за мусоровозами,0,0,0
5408016091,"ООО ""Бинман""",8 (800) 222-59-03,support@binman.ru,Оборудование для идентификации контейнеров,0,0,0
5408016091,"ООО ""Бинман""",8 (800) 222-59-03,support@binman.ru,"Оборудование для наблюдения, специально разработанное для мусоровозов",0,0,0
7731392620,"ООО ""ИЭП""",8 (800) 350-33-76,nfo@ecoplatform.ru,,0,0,0
7706453990,"ООО ""Энтопротэк""",8 (495) 012-12-31,i.sokolov@entoprotech.com,Технология утилизации отходов,0,0,0
7810600150,"ООО ""Эпурамат-Рус""",8 (499) 490-69-49,info@epuramat.tech,Установки для очистки хозяйственно-бытовых стоков,0,0,0
7710900640,"ООО ""ВР Концепт""",8 (495) 212-11-47,info@vrconcept.net,ПО для совместной работы в VR-пространстве,0,0,0
7713727803,"ООО ""Высотспас""",8 (985) 125-92-44,pavlakor@yandex.ru,Пожарно-эвакуационные подъемники,0,0,0
7713727803,"ООО ""Высотспас""",8 (985) 125-92-44,pavlakor@yandex.ru,Зубчато-реечные автомобильные лифты,0,0,0
3906906167,"ООО ""НПО ""Сборные Автодороги""",8 (921) 264-16-57,m_iksanov@mail.ru,,0,0,0
